63,00:51:12.000 08/08/2019,2065:348690.000,-2453627.799,-4767136.089,3443228.700
64,00:51:12.500 08/08/2019,2065:348690.500,-2453627.688,-4767136.010,3443228.887
65,00:51:13.000 08/08/2019,2065:348691.000,-2453627.619,-4767135.978,3443228.980
66,00:51:13.500 08/08/2019,2065:348691.500,-2453627.610,-4767135.960,3443229.011
67,00:51:14.000 08/08/2019,2065:348692.000,-2453627.624,-4767135.953,3443229.011
68,00:51:14.500 08/08/2019,2065:348692.500,-2453627.693,-4767135.951,3443228.964
69,00:51:15.000 08/08/2019,2065:348693.000,-2453627.873,-4767135.960,3443228.825
70,00:51:15.500 08/08/2019,2065:348693.500,-2453628.182,-4767135.982,3443228.576
71,00:51:16.000 08/08/2019,2065:348694.000,-2453628.685,-4767135.971,3443228.235
72,00:51:16.500 08/08/2019,2065:348694.500,-2453629.425,-4767136.012,3443227.839
73,00:51:17.000 08/08/2019,2065:348695.000,-2453630.270,-4767135.949,3443227.327
74,00:51:17.500 08/08/2019,2065:348695.500,-2453631.214,-4767135.908,3443226.900
75,00:51:18.000 08/08/2019,2065:348696.000,-2453632.162,-4767135.808,3443226.551
76,00:51:18.500 08/08/2019,2065:348696.500,-2453632.943,-4767135.621,3443226.256
77,00:51:19.000 08/08/2019,2065:348697.000,-2453633.729,-4767135.479,3443226.077
78,00:51:19.500 08/08/2019,2065:348697.500,-2453634.464,-4767135.237,3443225.891
79,00:51:20.000 08/08/2019,2065:348698.000,-2453635.228,-4767135.051,3443225.790
80,00:51:20.500 08/08/2019,2065:348698.500,-2453635.940,-4767134.764,3443225.681
81,00:51:21.000 08/08/2019,2065:348699.000,-2453636.694,-4767134.560,3443225.611
82,00:51:21.500 08/08/2019,2065:348699.500,-2453637.383,-4767134.330,3443225.441
83,00:51:22.000 08/08/2019,2065:348700.000,-2453638.086,-4767134.197,3443225.309
84,00:51:22.500 08/08/2019,2065:348700.500,-2453638.673,-4767134.042,3443225.107
85,00:51:23.000 08/08/2019,2065:348701.000,-2453639.135,-4767133.951,3443224.905
86,00:51:23.500 08/08/2019,2065:348701.500,-2453639.481,-4767133.908,3443224.719
87,00:51:24.000 08/08/2019,2065:348702.000,-2453639.658,-4767133.980,3443224.680
88,00:51:24.500 08/08/2019,2065:348702.500,-2453639.663,-4767133.988,3443224.664
89,00:51:25.000 08/08/2019,2065:348703.000,-2453639.649,-4767133.996,3443224.664
90,00:51:25.500 08/08/2019,2065:348703.500,-2453639.649,-4767133.996,3443224.664
91,00:51:26.000 08/08/2019,2065:348704.000,-2453639.592,-4767133.919,3443224.626
92,00:51:26.500 08/08/2019,2065:348704.500,-2453639.592,-4767133.919,3443224.626
93,00:51:27.000 08/08/2019,2065:348705.000,-2453639.578,-4767133.926,3443224.626
94,00:51:27.500 08/08/2019,2065:348705.500,-2453639.573,-4767133.917,3443224.641
95,00:51:28.000 08/08/2019,2065:348706.000,-2453639.560,-4767133.924,3443224.641
96,00:51:28.500 08/08/2019,2065:348706.500,-2453639.546,-4767133.932,3443224.641
97,00:51:29.000 08/08/2019,2065:348707.000,-2453639.546,-4767133.932,3443224.641
98,00:51:29.500 08/08/2019,2065:348707.500,-2453639.532,-4767133.939,3443224.641
99,00:51:30.000 08/08/2019,2065:348708.000,-2453639.532,-4767133.939,3443224.641
100,00:51:30.500 08/08/2019,2065:348708.500,-2453639.532,-4767133.939,3443224.641
101,00:51:31.000 08/08/2019,2065:348709.000,-2453639.461,-4767133.869,3443224.602
102,00:51:31.500 08/08/2019,2065:348709.500,-2453639.346,-4767133.884,3443224.664
103,00:51:32.000 08/08/2019,2065:348710.000,-2453639.202,-4767133.912,3443224.727
104,00:51:32.500 08/08/2019,2065:348710.500,-2453639.027,-4767133.946,3443224.804
105,00:51:33.000 08/08/2019,2065:348711.000,-2453638.828,-4767134.003,3443224.866
106,00:51:33.500 08/08/2019,2065:348711.500,-2453638.685,-4767134.032,3443224.928
107,00:51:34.000 08/08/2019,2065:348712.000,-2453638.560,-4767134.062,3443224.975
108,00:51:34.500 08/08/2019,2065:348712.500,-2453638.510,-4767134.066,3443225.006
109,00:51:35.000 08/08/2019,2065:348713.000,-2453638.491,-4767134.064,3443225.021
110,00:51:35.500 08/08/2019,2065:348713.500,-2453638.431,-4767134.084,3443225.037
111,00:51:36.000 08/08/2019,2065:348714.000,-2453638.353,-4767134.101,3443225.068
112,00:51:36.500 08/08/2019,2065:348714.500,-2453638.334,-4767134.100,3443225.084
113,00:51:37.000 08/08/2019,2065:348715.000,-2453638.330,-4767134.091,3443225.099
114,00:51:37.500 08/08/2019,2065:348715.500,-2453638.330,-4767134.091,3443225.099
115,00:51:38.000 08/08/2019,2065:348716.000,-2453638.330,-4767134.091,3443225.099
116,00:51:38.500 08/08/2019,2065:348716.500,-2453638.371,-4767134.069,3443225.099
117,00:51:39.000 08/08/2019,2065:348717.000,-2453638.574,-4767134.021,3443225.021
118,00:51:39.500 08/08/2019,2065:348717.500,-2453639.046,-4767133.880,3443224.882
119,00:51:40.000 08/08/2019,2065:348718.000,-2453639.722,-4767133.728,3443224.796
120,00:51:40.500 08/08/2019,2065:348718.500,-2453640.470,-4767133.411,3443224.703
121,00:51:41.000 08/08/2019,2065:348719.000,-2453641.378,-4767133.094,3443224.680
122,00:51:41.500 08/08/2019,2065:348719.500,-2453642.330,-4767132.661,3443224.602
123,00:51:42.000 08/08/2019,2065:348720.000,-2453643.565,-4767132.266,3443224.455
124,00:51:42.500 08/08/2019,2065:348720.500,-2453645.112,-4767131.831,3443223.958
125,00:51:43.000 08/08/2019,2065:348721.000,-2453646.993,-4767131.668,3443223.034
126,00:51:43.500 08/08/2019,2065:348721.500,-2453649.040,-4767131.691,3443221.738
127,00:51:44.000 08/08/2019,2065:348722.000,-2453651.146,-4767131.898,3443220.147
128,00:51:44.500 08/08/2019,2065:348722.500,-2453653.246,-4767132.195,3443218.254
129,00:51:45.000 08/08/2019,2065:348723.000,-2453655.379,-4767132.659,3443216.290
130,00:51:45.500 08/08/2019,2065:348723.500,-2453657.464,-4767133.064,3443214.257
131,00:51:46.000 08/08/2019,2065:348724.000,-2453659.526,-4767133.458,3443212.254
132,00:51:46.500 08/08/2019,2065:348724.500,-2453661.669,-4767133.838,3443210.399
133,00:51:47.000 08/08/2019,2065:348725.000,-2453663.954,-4767133.983,3443208.583
134,00:51:47.500 08/08/2019,2065:348725.500,-2453666.580,-4767133.940,3443206.783
135,00:51:48.000 08/08/2019,2065:348726.000,-2453669.471,-4767133.694,3443205.075
136,00:51:48.500 08/08/2019,2065:348726.500,-2453672.500,-4767133.343,3443203.414
