63,00:50:59.000 08/08/2019,2065:348677.000,-2453627.780,-4767141.320,3443220.470
64,00:50:59.500 08/08/2019,2065:348677.500,-2453627.900,-4767141.350,3443220.300
65,00:51:00.000 08/08/2019,2065:348678.000,-2453628.110,-4767141.440,3443219.980
66,00:51:00.500 08/08/2019,2065:348678.500,-2453628.460,-4767141.640,3443219.620
67,00:51:01.000 08/08/2019,2065:348679.000,-2453628.830,-4767141.850,3443219.140
68,00:51:01.500 08/08/2019,2065:348679.500,-2453629.180,-4767142.130,3443218.570
69,00:51:02.000 08/08/2019,2065:348680.000,-2453629.510,-4767142.510,3443217.880
70,00:51:02.500 08/08/2019,2065:348680.500,-2453629.820,-4767143.010,3443217.060
71,00:51:03.000 08/08/2019,2065:348681.000,-2453630.120,-4767143.620,3443216.090
72,00:51:03.500 08/08/2019,2065:348681.500,-2453630.430,-4767144.350,3443214.970
73,00:51:04.000 08/08/2019,2065:348682.000,-2453630.770,-4767145.130,3443213.750
74,00:51:04.500 08/08/2019,2065:348682.500,-2453631.120,-4767145.970,3443212.450
75,00:51:05.000 08/08/2019,2065:348683.000,-2453631.520,-4767146.880,3443211.050
76,00:51:05.500 08/08/2019,2065:348683.500,-2453631.950,-4767147.850,3443209.540
77,00:51:06.000 08/08/2019,2065:348684.000,-2453632.430,-4767148.850,3443207.990
78,00:51:06.500 08/08/2019,2065:348684.500,-2453632.910,-4767149.880,3443206.400
79,00:51:07.000 08/08/2019,2065:348685.000,-2453633.370,-4767150.930,3443204.810
80,00:51:07.500 08/08/2019,2065:348685.500,-2453633.850,-4767151.990,3443203.210
81,00:51:08.000 08/08/2019,2065:348686.000,-2453634.330,-4767153.080,3443201.600
82,00:51:08.500 08/08/2019,2065:348686.500,-2453634.810,-4767154.160,3443199.980
83,00:51:09.000 08/08/2019,2065:348687.000,-2453635.280,-4767155.260,3443198.360
84,00:51:09.500 08/08/2019,2065:348687.500,-2453635.760,-4767156.390,3443196.720
85,00:51:10.000 08/08/2019,2065:348688.000,-2453636.230,-4767157.510,3443195.100
86,00:51:10.500 08/08/2019,2065:348688.500,-2453636.660,-4767158.630,3443193.500
87,00:51:11.000 08/08/2019,2065:348689.000,-2453637.080,-4767159.760,3443191.910
88,00:51:11.500 08/08/2019,2065:348689.500,-2453637.470,-4767160.870,3443190.390
89,00:51:12.000 08/08/2019,2065:348690.000,-2453637.850,-4767161.930,3443188.920
90,00:51:12.500 08/08/2019,2065:348690.500,-2453638.220,-4767162.960,3443187.480
91,00:51:13.000 08/08/2019,2065:348691.000,-2453638.610,-4767163.970,3443186.060
92,00:51:13.500 08/08/2019,2065:348691.500,-2453639.060,-4767164.950,3443184.560
93,00:51:14.000 08/08/2019,2065:348692.000,-2453639.630,-4767165.920,3443183.080
94,00:51:14.500 08/08/2019,2065:348692.500,-2453640.280,-4767166.780,3443181.630
95,00:51:15.000 08/08/2019,2065:348693.000,-2453641.060,-4767167.560,3443180.240
96,00:51:15.500 08/08/2019,2065:348693.500,-2453642.010,-4767168.250,3443178.840
97,00:51:16.000 08/08/2019,2065:348694.000,-2453643.120,-4767168.870,3443177.450
98,00:51:16.500 08/08/2019,2065:348694.500,-2453644.420,-4767169.380,3443176.100
99,00:51:17.000 08/08/2019,2065:348695.000,-2453645.810,-4767169.770,3443174.820
100,00:51:17.500 08/08/2019,2065:348695.500,-2453647.250,-4767170.080,3443173.660
101,00:51:18.000 08/08/2019,2065:348696.000,-2453648.650,-4767170.290,3443172.610
102,00:51:18.500 08/08/2019,2065:348696.500,-2453650.020,-4767170.410,3443171.680
103,00:51:19.000 08/08/2019,2065:348697.000,-2453651.370,-4767170.470,3443170.860
104,00:51:19.500 08/08/2019,2065:348697.500,-2453652.700,-4767170.410,3443170.150
105,00:51:20.000 08/08/2019,2065:348698.000,-2453654.010,-4767170.200,3443169.640
106,00:51:20.500 08/08/2019,2065:348698.500,-2453655.300,-4767169.860,3443169.280
107,00:51:21.000 08/08/2019,2065:348699.000,-2453656.500,-4767169.430,3443169.140
108,00:51:21.500 08/08/2019,2065:348699.500,-2453657.590,-4767168.920,3443169.220
109,00:51:22.000 08/08/2019,2065:348700.000,-2453658.500,-4767168.350,3443169.480
110,00:51:22.500 08/08/2019,2065:348700.500,-2453659.270,-4767167.730,3443169.900
111,00:51:23.000 08/08/2019,2065:348701.000,-2453659.930,-4767167.050,3443170.510
112,00:51:23.500 08/08/2019,2065:348701.500,-2453660.410,-4767166.310,3443171.310
113,00:51:24.000 08/08/2019,2065:348702.000,-2453660.710,-4767165.560,3443172.300
114,00:51:24.500 08/08/2019,2065:348702.500,-2453660.800,-4767164.800,3443173.420
115,00:51:25.000 08/08/2019,2065:348703.000,-2453660.670,-4767164.080,3443174.620
116,00:51:25.500 08/08/2019,2065:348703.500,-2453660.370,-4767163.390,3443175.910
117,00:51:26.000 08/08/2019,2065:348704.000,-2453659.920,-4767162.690,3443177.330
118,00:51:26.500 08/08/2019,2065:348704.500,-2453659.360,-4767161.970,3443178.830
119,00:51:27.000 08/08/2019,2065:348705.000,-2453658.740,-4767161.220,3443180.420
120,00:51:27.500 08/08/2019,2065:348705.500,-2453658.120,-4767160.430,3443182.070
121,00:51:28.000 08/08/2019,2065:348706.000,-2453657.530,-4767159.590,3443183.770
122,00:51:28.500 08/08/2019,2065:348706.500,-2453656.970,-4767158.700,3443185.540
123,00:51:29.000 08/08/2019,2065:348707.000,-2453656.420,-4767157.760,3443187.350
124,00:51:29.500 08/08/2019,2065:348707.500,-2453655.880,-4767156.780,3443189.210
125,00:51:30.000 08/08/2019,2065:348708.000,-2453655.340,-4767155.740,3443191.120
126,00:51:30.500 08/08/2019,2065:348708.500,-2453654.790,-4767154.660,3443193.090
127,00:51:31.000 08/08/2019,2065:348709.000,-2453654.230,-4767153.540,3443195.100
128,00:51:31.500 08/08/2019,2065:348709.500,-2453653.650,-4767152.420,3443197.150
129,00:51:32.000 08/08/2019,2065:348710.000,-2453653.060,-4767151.310,3443199.210
130,00:51:32.500 08/08/2019,2065:348710.500,-2453652.480,-4767150.190,3443201.280
131,00:51:33.000 08/08/2019,2065:348711.000,-2453651.920,-4767149.090,3443203.350
132,00:51:33.500 08/08/2019,2065:348711.500,-2453651.370,-4767148.010,3443205.420
133,00:51:34.000 08/08/2019,2065:348712.000,-2453650.820,-4767146.910,3443207.470
134,00:51:34.500 08/08/2019,2065:348712.500,-2453650.260,-4767145.810,3443209.520
135,00:51:35.000 08/08/2019,2065:348713.000,-2453649.740,-4767144.720,3443211.510
136,00:51:35.500 08/08/2019,2065:348713.500,-2453649.310,-4767143.640,3443213.420
137,00:51:36.000 08/08/2019,2065:348714.000,-2453649.010,-4767142.580,3443215.190
138,00:51:36.500 08/08/2019,2065:348714.500,-2453648.960,-4767141.500,3443216.790
139,00:51:37.000 08/08/2019,2065:348715.000,-2453649.230,-4767140.440,3443218.140
140,00:51:37.500 08/08/2019,2065:348715.500,-2453649.810,-4767139.420,3443219.180
141,00:51:38.000 08/08/2019,2065:348716.000,-2453650.700,-4767138.480,3443219.880
142,00:51:38.500 08/08/2019,2065:348716.500,-2453651.810,-4767137.710,3443220.220
143,00:51:39.000 08/08/2019,2065:348717.000,-2453653.060,-4767137.110,3443220.230
144,00:51:39.500 08/08/2019,2065:348717.500,-2453654.460,-4767136.700,3443219.890
145,00:51:40.000 08/08/2019,2065:348718.000,-2453655.890,-4767136.520,3443219.280
146,00:51:40.500 08/08/2019,2065:348718.500,-2453657.300,-4767136.500,3443218.460
147,00:51:41.000 08/08/2019,2065:348719.000,-2453658.670,-4767136.600,3443217.450
